English title,Original title,Director(s),Production countrie(s),Palme d'Or,Un Certain Regard,Out of competition,Television series,Midnight screening,Short film,Cannes premiere,Special screening,International Critics' Week,Directors' Fortnight,Caméra d'Or
Blackbird Blackbird Blackberry,Blackbird Blackbird Blackberry,Elene Naveriani,"Switzerland, Germany, Georgia",0,0,0,0,0,0,0,0,0,1,0
The Book of Solutions,Le Livre des solutions,Michel Gondry,France,0,0,0,0,0,0,0,0,0,1,0
Conann,Conann,Bertrand Mandico,"Belgium, France, Luxembourg",0,0,0,0,0,0,0,0,0,1,0
Creatura,Creatura,Elena Martín Gimeno,Spain,0,0,0,0,0,0,0,0,0,1,0
Déserts,Déserts,Faouzi Bensaïdi,"Morocco, France, Germany, Belgium",0,0,0,0,0,0,0,0,0,1,0
The Feeling That the Time for Doing Something Has Passed,The Feeling That the Time for Doing Something Has Passed,Joanna Arnow,United States,0,0,0,0,0,0,0,0,0,1,1
The Goldman Case,Le procès Goldman,Cédric Kahn,France,0,0,0,0,0,0,0,0,0,1,0
Grace,Grace,Ilya Povolotsky,Russia,0,0,0,0,0,0,0,0,0,1,1
In Flames,In Flames,Zarrar Kahn,"Canada, Pakistan",0,0,0,0,0,0,0,0,0,1,0
In Our Day,우리의 하루,Hong Sang-soo,South Korea,0,0,0,0,0,0,0,0,0,1,0
Inside the Yellow Cocoon Shell,Inside the Yellow Cocoon Shell,Pham Thien An,"Vietnam, Singapore, France",0,0,0,0,0,0,0,0,0,1,1
Légua,Légua,"Filipa Reis, João Miller Guerra","Portugal, France, Italy",0,0,0,0,0,0,0,0,0,1,0
Mambar Pierrette,Mambar Pierrette,Rosine Mbakam,Cameroon,0,0,0,0,0,0,0,0,0,1,0
The Other Laurens,L'autre Laurens,Claude Schmitz,France,0,0,0,0,0,0,0,0,0,1,0
A Prince,Un prince,Pierre Creton,France,0,0,0,0,0,0,0,0,0,1,0
Riddle of Fire,Riddle of Fire,Weston Razooli,United States,0,0,0,0,0,0,0,0,0,1,1
A Song Sung Blue,Xiǎo bái chuán (小白船),Geng Zihan,China,0,0,0,0,0,0,0,0,0,1,1
The Sweet East,The Sweet East,Sean Price Williams,United States,0,0,0,0,0,0,0,0,0,1,1
Abraham's Valley,Abraham's Valley,Manoel de Oliveira,"Portugal, France, Switzerland",0,0,0,0,0,0,0,0,0,1,0
Filles de Feu,Filles de Feu,Pedro Costa,Portugal,0,0,0,0,0,1,0,0,0,0,0
Funny Wars,Funny Wars,Jean-Luc Godard,France,0,0,0,0,0,1,0,0,0,0,0
Strange Way of Life,Strange Way of Life,Pedro Almodóvar,Spain,0,0,0,0,0,1,0,0,0,0,0
Basri and Salma in a Never-ending Comedy,Basri and Salma in a Never-ending Comedy,Khozy Rizal,Indonesia,0,0,0,0,0,1,0,0,0,0,0
